zip,lat,lng,average summer precipitation (mm/hr),average summer temp (K),temp (C),temp (F)
01532,42.32314,-71.6462,0.1218256886,294.771287,21.77128703,71.18831665
01534,42.13991,-71.6443,0.1192734646,294.8914286,21.89142863,71.40457153
01535,42.2695,-72.0779,0.139335527,294.5544393,21.55443929,70.79799072
01536,42.23189,-71.6922,0.1192734646,294.8914286,21.89142863,71.40457153
01537,42.16177,-71.8922,0.1238826337,294.666453,21.66645304,70.99961548
01540,42.11649,-71.8582,0.1238826337,294.666453,21.66645304,70.99961548
01541,42.45649,-71.8813,0.1283637737,294.5389038,21.53890381,70.77002686
01542,42.20241,-71.91,0.1238826337,294.666453,21.66645304,70.99961548
01543,42.38482,-71.9673,0.1283637737,294.5389038,21.53890381,70.77002686
01545,42.28419,-71.7156,0.1218256886,294.771287,21.77128703,71.18831665
01550,42.06039,-72.0338,0.1335210917,294.6637227,21.66372274,70.99470093
01560,42.17496,-71.6776,0.1192734646,294.8914286,21.89142863,71.40457153
01561,42.44581,-71.6885,0.1218256886,294.771287,21.77128703,71.18831665
01562,42.24715,-71.9919,0.127165011,294.6190162,21.61901617,70.9142291
01564,42.44124,-71.773,0.1283637737,294.5389038,21.53890381,70.77002686
01566,42.1047,-72.0775,0.1335210917,294.6637227,21.66372274,70.99470093
01568,42.17694,-71.6052,0.1192734646,294.8914286,21.89142863,71.40457153
01569,42.05895,-71.6374,0.1192734646,294.8914286,21.89142863,71.40457153
01570,42.05206,-71.8485,0.1238826337,294.666453,21.66645304,70.99961548
01571,42.05501,-71.9352,0.1238826337,294.666453,21.66645304,70.99961548
01581,42.26815,-71.614,0.1218256886,294.771287,21.77128703,71.18831665
01583,42.37034,-71.785,0.1283637737,294.5389038,21.53890381,70.77002686
01585,42.23762,-72.1631,0.1337219224,294.6599481,21.65994809,70.98790655
01588,42.11837,-71.6684,0.1192734646,294.8914286,21.89142863,71.40457153
01590,42.13387,-71.7518,0.1219329343,294.7616187,21.76161874,71.17091373
01602,42.27219,-71.8495,0.1283637737,294.5389038,21.53890381,70.77002686
01603,42.24373,-71.8443,0.1249616196,294.6357413,21.63574126,70.94433426
01604,42.25085,-71.7683,0.1263089877,294.5973904,21.59739035,70.87530263
01605,42.28979,-71.788,0.1283637737,294.5389038,21.53890381,70.77002686
01606,42.31367,-71.7961,0.1283637737,294.5389038,21.53890381,70.77002686
01607,42.22684,-71.7904,0.1238826337,294.666453,21.66645304,70.99961548
01608,42.2621,-71.8015,0.1282089951,294.5433094,21.54330936,70.77795685
01609,42.28592,-71.8285,0.1283637737,294.5389038,21.53890381,70.77002686
01610,42.24645,-71.8097,0.1254636581,294.6214514,21.62145145,70.91861261
01611,42.23945,-71.877,0.1242680921,294.6554815,21.65548152,70.97986674
01612,42.31037,-71.931,0.1283637737,294.5389038,21.53890381,70.77002686
